angle,v0,r,ymax,age,batchId,fitness,iteration,accepted,conv_objective,ConstraintEvaluation_impConstr1
15.8304213944,141.787702726,1076.76122808,76.3275741939,0.0,4.0,1076.76122808,3.0,accepted,0.0,173.672425806
15.8304213944,130.962171746,918.616017585,65.1172520048,0.0,4.0,918.616017585,3.0,accepted,0.0,184.882747995
31.7600738319,141.787702726,1836.19308699,284.179319734,0.0,4.0,755.110871726,3.0,accepted,0.0,-34.1793197344
15.8304213944,121.393997902,789.290191461,55.949828131,0.0,4.0,789.290191461,3.0,accepted,0.0,194.050171869
31.7600738319,141.787702726,1836.19308699,284.179319734,0.0,4.0,755.110871726,3.0,accepted,0.0,-34.1793197344
15.8304213944,160.483915175,1379.44788868,97.7838989035,0.0,4.0,1379.44788868,3.0,accepted,0.0,152.216101097
25.580173568,141.787702726,1597.84651193,191.220012668,0.0,4.0,1597.84651193,3.0,accepted,0.0,58.7799873325
15.8304213944,130.962171746,918.616017585,65.1172520048,0.0,4.0,918.616017585,3.0,accepted,0.0,184.882747995
31.7600738319,157.495460682,2265.56902399,350.631896291,0.0,4.0,688.658295169,3.0,accepted,0.0,-100.631896291
15.8304213944,121.393997902,789.290191461,55.949828131,0.0,4.0,789.290191461,3.0,accepted,0.0,194.050171869
31.7600738319,157.495460682,2265.56902399,350.631896291,0.0,4.0,688.658295169,3.0,accepted,0.0,-100.631896291
15.8304213944,160.483915175,1379.44788868,97.7838989035,0.0,4.0,1379.44788868,3.0,accepted,0.0,152.216101097
25.580173568,157.495460682,1971.487415,235.934957242,0.0,4.0,1971.487415,3.0,accepted,0.0,14.0650427584
31.7600738319,160.483915175,2352.36244675,364.064522747,0.0,4.0,675.225668713,3.0,accepted,0.0,-114.064522747
25.580173568,130.962171746,1363.16888203,163.135300509,0.0,4.0,1363.16888203,3.0,accepted,0.0,86.8646994911
31.7600738319,160.483915175,2352.36244675,364.064522747,0.0,4.0,675.225668713,3.0,accepted,0.0,-114.064522747
