0000582,0000583,0000597,0000596,0000200,0000579,0000578,0000575,20508701,20508801,failureTemp,0000588,timeof_692,timeof_578,timeof_591,time,timeof_672,cntrlvar_67,timeof_679
12863.9583975,28450.8107552,11990.4868192,2233.21350331,18079.7591243,17962.7265791,24054.3785023,15682.7660037,198.919818418,15930.053918,2349.72467264,28481.3462916,31832.0,-1.0,-1.0,33930.8,33931.0,749.78,-1.0
28626.2561813,656.961977021,4864.13919904,22488.351791,26284.4091802,8200.63165629,841.53939093,5874.17499725,171.239752659,21033.6692891,2267.54594112,22611.6972445,-1.0,27126.0,-1.0,27126.0,27126.0,997.95,-1.0
5863.67701281,16486.7397914,18014.0306559,8628.30405024,19581.2529894,20412.5472709,10719.8727822,2245.92830591,257.320562515,17882.2340989,2423.24039765,4071.17459534,-1.0,30301.0,-1.0,30301.2,30301.0,944.67,-1.0
20935.1070176,5806.74581791,15972.7526588,1338.85448884,12036.5407413,11398.5111394,28496.9981797,4119.23301983,313.642710031,20588.6816882,1894.55681909,19472.4402999,-1.0,-1.0,-1.0,23435.1,23435.0,987.17,23435.0
15830.4040034,15165.6849195,12720.9296619,14960.5710801,6590.94332974,26603.3802888,21479.0634682,5358.51608697,349.231835799,14890.135819,1861.93980711,27439.8491475,26840.0,28070.0,-1.0,28070.1,28070.0,1837.0,-1.0
12874.9739081,9172.39442357,13022.4875337,4596.99098115,13542.9073993,12806.7415596,9947.07804846,308.189119197,236.78576354,19090.6285778,1919.5938821,18693.5267465,-1.0,23490.0,-1.0,23490.0,23490.0,1015.9,-1.0
28746.8194544,9682.73226182,802.454027325,14105.5740643,3288.04164705,16747.5123467,19208.5464301,24563.2340994,65.5921094336,14648.3880963,1831.74435565,13539.9516279,-1.0,22497.0,-1.0,22496.6,22497.0,845.48,-1.0
17036.8749329,18979.6767867,7729.61548163,6764.85827943,25900.2546458,8170.82577843,2834.52222725,21216.3054858,220.17265074,16736.0787392,2579.78399692,14226.5007125,-1.0,28735.0,-1.0,28734.8,28735.0,1009.8,-1.0
6644.91373024,7177.99038865,24442.8103499,28039.7226613,24794.4640407,6641.80522239,12385.5929688,6283.96564473,42.2745636481,19760.9999755,2556.9235572,14780.3737864,-1.0,-1.0,-1.0,31436.3,31436.0,986.31,31436.0
21357.6009998,6832.37562171,20985.4936293,19651.2256511,21805.3898173,11116.2325907,22665.8360163,25076.7880549,178.04526241,17562.7718118,2297.44799628,13873.7922984,-1.0,-1.0,-1.0,32921.7,32922.0,994.17,32922.0
